Lang,Cookie,Browser,Platform,Device,Kitten Total,Puppy Total,Total Hits
fa,[21/Feb/2020:22:34:13 +0000][for= \x22203.237.28.243\x22][][10.144.203.128][fa],AndroidBrowser,Android,Mobile,602,608,1210
sg,-,Safari,iPhone,Mobile,1111,0,1111
ne,-,Firefox,Android,Mobile,0,791,791
kn,-,IE,Windows,Desktop,620,679,1299
bi,[21/Feb/2020:21:34:18 +0000][for= \x2224.69.200.234\x22][][10.144.203.128][bi],Firefox,Windows,Desktop,420,427,847
hz,[21/Feb/2020:21:31:03 +0000][for= \x2230.63.58.164\x22][][10.144.203.128][hz],Firefox,Linux,Desktop,0,1664,1664
bm,-,NetscapeNavigator,Mac,Desktop,468,455,923
am,-,Chromium,Linux,Desktop,583,562,1145
os,[21/Feb/2020:21:32:08 +0000][for= \x2242.201.82.98\x22][][10.144.203.128][os],IE,Windows,Desktop,0,703,703
aa,[21/Feb/2020:21:32:16 +0000][for= \x22141.239.244.95\x22][][10.144.203.128][aa],IE,Xbox,Console,3820,0,3820
ht,[21/Feb/2020:21:33:37 +0000][for= \x2250.250.39.213\x22][][10.144.203.128][ht],Firefox,Linux,Desktop,0,1774,1774
tn,-,Lynx,Linux,Desktop,775,768,1543
ku,-,IE,Windows,Desktop,872,0,872
kg,[21/Feb/2020:22:34:23 +0000][for= \x22170.223.122.29\x22][][10.144.203.128][kg],Firefox,Mac,Desktop,1928,0,1928
sq,-,Baidu,Windows,Desktop,277,299,576
ve,-,GoogleSearchApp,iPhone,Mobile,0,1007,1007
lg,-,Firefox,Windows,Desktop,676,0,676
cu,[21/Feb/2020:21:34:26 +0000][for= \x22128.51.197.103\x22][][10.144.203.128][cu],Chromium,Linux,Desktop,368,366,734
ar,[21/Feb/2020:22:33:41 +0000][for= \x2278.17.136.185\x22][][10.144.203.128][ar],Opera,Windows,Desktop,550,508,1058
th,[21/Feb/2020:22:32:08 +0000][for= \x22255.228.218.200\x22][][10.144.203.128][th],IE,Windows,Desktop,951,0,951
lg,-,Firefox,Windows,Desktop,606,0,606
tg,[21/Feb/2020:21:32:44 +0000][for= \x22138.42.133.161\x22][][10.144.203.128][tg],Opera,Windows,Desktop,382,329,711
lt,-,Firefox,Linux,Desktop,491,477,968
ku,-,IE,Windows,Desktop,1032,0,1032
nn,[21/Feb/2020:21:31:19 +0000][for= \x2254.68.197.189\x22][][10.144.203.128][nn],Thunderbird,Windows,Desktop,0,704,704
nr,[21/Feb/2020:21:31:48 +0000][for= \x22170.121.227.91\x22][][10.144.203.128][nr],Chromium,Linux,Desktop,562,599,1161
cs,[21/Feb/2020:21:34:53 +0000][for= \x22177.45.191.64\x22][][10.144.203.128][cs],Chrome,Mac,Desktop,0,692,692
tg,[21/Feb/2020:22:31:45 +0000][for= \x2296.22.23.175\x22][][10.144.203.128][tg],Chrome,Android,Mobile,1117,0,1117
sm,-,Firefox,Mac,Desktop,1060,0,1060
lu,-,Opera,Windows,Desktop,442,430,872
ii,[21/Feb/2020:21:31:10 +0000][for= \x22109.42.128.21\x22][][10.144.203.128][ii],Opera,Windows,Desktop,896,857,1753
aa,-,Firefox,Android,Mobile,774,0,774
ts,-,IE,Windows,Desktop,992,0,992
nn,[21/Feb/2020:21:34:40 +0000][for= \x2222.72.177.140\x22][][10.144.203.128][nn],Safari,Windows,Desktop,716,706,1422
so,-,Thunderbird,Windows,Desktop,0,3612,3612
